id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
8322,Boys,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts
17240,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt
3365,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt
10065,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts
5092,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
10859,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers
24062,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts
30650,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Nike Men Printed Black T-shirt
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012.0,Casual,ONLY Women directoire blue Trousers
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011.0,Sports,Nike Women Solid Pink Shorts
14293,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts
6041,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2011.0,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
9835,Women,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,Little Miss Women Printed Grey T-shirt
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Jealous 21 Women Black Jegging
3533,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,John Miller Men Dark Grey Trousers
3701,Women,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Tantra Women Flower Heart Black Long T-shirt
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans
53766,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Puma Men White and Navy Blue T-shirt
16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Locomotive Men Check Red Shirt
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Scul Purple White Shirt
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt
6287,Men,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Classic Polo Men's Swiss Yellow T-shirt
7355,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Tantra Men's Black Sabbath Navy T-shirt
43500,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,French Connection Men White T-shirt
11527,Men,Apparel,Topwear,Shirts,Olive,Fall,2011.0,Casual,United Colors of Benetton Men Olive Tshirts
15187,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Arrow Sport Men Solid White Polo Tshirts
14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Flying Machine Men Check Green Shirts
20260,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Applique Navy Blue Tshirt
28469,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Urban Yoga Women Printed Pink T-shirt
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt
2243,Men,Apparel,Topwear,Shirts,White,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt
11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts
4988,Women,Apparel,Dress,Dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear
44341,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Indian Terrain Men Blue T-shirt
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Men Summer Black Shirts
4386,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,Wrangler Cowboy Photo T-shirt
29789,Men,Apparel,Topwear,Shirts,Pink,Summer,2013.0,Casual,Basics Men Pack of 3 T-shirt
7503,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Sports,Nike Men's As Icon Blue T-shirt
13426,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,John Miller Men Stripes Blue Shirts
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
7963,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Sports,Puma Men's Large Logo Graphic White French T-shirt
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Casual,Elle Women Brown Trousers
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011.0,Casual,Turtle Solid Men  Burgundy Shirt
20258,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,Wrangler Men Polo Charcoal T-shirt
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Palm Tree Kids Boy Solid Brown Trousers
8325,Boys,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear
5862,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,ADIDAS Men's Stripe Black T-shirt
58726,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Women Blue Jeans
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Jealous 21 Women's Aaren Black Jegging
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Indigo Nation Men Grey Striped Shirt
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,John Players Men Check Blue Shirt
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,2012.0,Casual,Mineral Women Grey Skirt
2049,Men,Apparel,Topwear,Shirts,White,Summer,2010.0,Sports,ADIDAS Men's Slim Fit White T-shirt
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Blue Chicago Fit Jeans
24892,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Black T-shirt
38637,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Nike Men Red Delhi T-shirt
4944,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear
10861,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Dirt Riders White T-Shirts
17278,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt
31588,Men,Apparel,Topwear,Shirts,Maroon,Summer,2012.0,Casual,Mark Taylor Men Printed Maroon T-shirt
18230,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Manchester United Men Printed White Tshirt
23871,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,ADIDAS Men Grey Striped T-shirt
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Bling Red Black Shirts
3953,Women,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Jealous 21 Women's Red Peace T-shirt
8587,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Red Check Shirt
9455,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Red Striped Shirt
32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,2012.0,Casual,Allen Solly Women Red Shorts
6079,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,UCB Men's Johny Collar With Two Tone Grey T-shirt
29321,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Sports,ADIDAS Men Black Jersey
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Arrow Woman Blue Shirt
33489,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Doodle Kids Boy Check Green Shirt
56822,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012.0,Casual,John Players Men Beige Shorts
40947,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Core Red T-shirt
39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Peter England Men Party Black Jeans
15977,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Turtle Solid Men Red Shirt
32769,Men,Apparel,Topwear,Shirts,Blue,Spring,2013.0,Casual,Music Men Printed Blue T-shirt
10439,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,Flying Machine Men Walnut Brown Tshirts
1852,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Inkfruit Men Ride It Or Die T-shirt
30802,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Ethnic,Fabindia Men Blue Shirt
19786,Men,Apparel,Topwear,Shirts,Navy Blue,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Navy Blue Tshirt
24091,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Manchester United Men Navy Blue Striped T-shirt
41406,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Wrangler Women Pink T-shirt
4381,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Superman Men's Silhouette Light Blue T-shirt
7504,Women,Apparel,Topwear,Shirts,Pink,Summer,2011.0,Sports,Nike Women's Smash Pink T-shirt
22366,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Ed Hardy Men New Tiger White T-Shirt
13421,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Black Polo T-shirts
27614,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012.0,Casual,Scullers Men Beige Trousers
16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,Peter England Men Stripes Maroon Shirt
46411,Men,Apparel,Topwear,Sweatshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black Sweatshirt
34031,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Blue Shirt
31543,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Classic Polo Men Striped Navy Blue T-shirt
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,2015.0,Casual,Jockey Women Grey Melange Shorts
2244,Women,Apparel,Topwear,Shirts,Black,Fall,2010.0,Casual,ADIDAS Women's Black T-shirt
11144,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts
6280,Men,Apparel,Topwear,Shirts,Pink,Summer,2011.0,Casual,UCB Men's Making Light Pink T-shirt
7352,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Tantra Men's Whatever Purple T-shirt
2620,Men,Apparel,Topwear,Shirts,Blue,Fall,2010.0,Sports,Nike Men's Colors Team India T-shirt
43507,Men,Apparel,Topwear,Shirts,Maroon,Summer,2012.0,Casual,French Connection Men Maroon T-shirt
31127,Girls,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Dress
11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,United Colors of Benetton Women Denim Black Jeans
14052,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Flying Machine Men Solid White Shirts
53795,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Puma Men Black T-shirt
32590,Women,Apparel,Bottomwear,Shorts,Brown,Summer,2012.0,Casual,ONLY Women Brown Shorts
11712,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Lee Men Solid Blue Shirts
25527,Women,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Wrangler Women Stella Green Shirt
13879,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Check Red Shirts
12197,Men,Apparel,Topwear,Shirts,Orange,Summer,2013.0,Casual,Basics Men Orange Polo T-shirt
6274,Women,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,UCB Women's Crystal Benetton Green T-shirt
26958,Women,Apparel,Topwear,Shirts,Teal,Summer,2012.0,Casual,Jealous 21 Women Teal Shirt
13283,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Gini and Jony Kids Boys Check Blue Shirts
3706,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,Classic Polo Men's Grey Red & Brown Stripe T-shirt
26164,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,John Miller Men Striped Grey Trousers
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Dresses
15174,Men,Apparel,Topwear,Shirts,Yellow,Fall,2013.0,Casual,Arrow Men Yellow Polo T-shirt
53761,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Puma Men Green and Blue T-shirt
37224,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,United Colors of Benetton Women Purple Shirt
32564,Women,Apparel,Bottomwear,Trousers,Orange,Summer,2012.0,Casual,ONLY Women Orange Trousers
15346,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Nike Men Special Edition 3 Star Beed Black Tshirts
21173,Women,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,s.Oliver Women Grey Shirt
40978,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys United Red T-shirt
14294,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Classic Polo Men Stripes Black Tshirts
9832,Women,Apparel,Topwear,Shirts,Orange,Fall,2011.0,Casual,Little Miss Women Printed Rust T-shirt
6046,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,UCB Men Logo Chest Green Shirt
34693,Girls,Apparel,Bottomwear,Shorts,Pink,Summer,2012.0,Casual,Allen Solly Kids Girls Poplin Pink Shorts
3534,Women,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Myntra Women's I Want You Black T-shirt
24065,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Locomotive Men Checked Green Shirt
11382,Women,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Grey T-Shirts
4375,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2011.0,Casual,Marvel Comics Men's Comic Poses Navy T-shirt
17849,Women,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,Flying Machine Women This & That Grey Tshirt
29548,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Classic Polo Men Printed Navy Blue T-shirt
16395,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Levis Men Check Black Shirts
6610,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Spykar Men's Stinger Basket Ball Team White Blue Stripes T-shirt
17247,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Blue Polo Tshirt
23072,Men,Apparel,Bottomwear,Trousers,Navy Blue,Winter,2014.0,Formal,Arrow Men Navy Blue Solid Trousers
3362,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Myntra Men's Creative designs Black T-shirt
9658,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Maroon Shirt
38608,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,Nike Men Grey T-shirt
10062,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,Puma Men Puma runhard tee Grey Tshirts
5095,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Wrangler Men's Greensboro Raw Edge Blue T-shirt
21725,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Casual,ADIDAS Men Navy Blue Sweatshirt
34038,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Check Red Shirt
28467,Women,Apparel,Topwear,Shirts,Rust,Summer,2012.0,Casual,Urban Yoga Women Printed Rust T-shirt
16368,Men,Apparel,Bottomwear,Trousers,Charcoal,Fall,2011.0,Formal,Peter England Men Stripes Charcoal Trouser
8777,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Price catch Blue Shirts
4986,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Sports,ADIDAS Men Bayern Munchen Red Jersey
39727,Women,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Arrow Woman Blue Shirt
4388,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,DC Comics Lantern Arrow All Over Green T-shirt
2843,Men,Apparel,Topwear,Shirts,Pink,Summer,2011.0,Casual,Mr.Men Men's Mr.Mischief Pink T-shirt
3991,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Mr.Men Men's Wave Rider White T-shirt
29787,Men,Apparel,Topwear,Shirts,White,Summer,2013.0,Casual,Basics Men White T-shirt
13428,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Printed White Tshirts
19112,Men,Apparel,Topwear,Shirts,Grey,Summer,2016.0,Casual,Campbell Men Pack of 3 Solid Tshirts
57932,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,French Connection Men White T-shirt
40985,Boys,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Gini and Jony Boys United White T-shirt
7169,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Navy Blue Shirt
13870,Men,Apparel,Topwear,Shirts,Beige,Fall,2011.0,Casual,Scullers Men Stripes Beige Shirts
7955,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Sports,Puma Men's Foundation Grey Polo T-shirt
27877,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Scullers For Her Women Printed Navy Blue Shirt
6289,Men,Apparel,Topwear,Shirts,Brown,Summer,2011.0,Casual,Classic Polo Classic Polo Swiss Brown Tee T-Shirt
1890,Men,Apparel,Topwear,Shirts,Red,Winter,2010.0,Casual,FIFA Mens Essentials Red T-shirt
15189,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Arrow Sport Men Solid Green Polo Tshirts
4718,Girls,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear
13884,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Check Black Shirts
19582,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,United Colors of Benetton Men Printed Grey TShirt
6873,Women,Apparel,Dress,Dresses,Black,Summer,2011.0,Casual,Forever New Women's Top Black Dress
26951,Women,Apparel,Topwear,Shirts,Teal,Summer,2012.0,Casual,Jealous 21 Women Printed Teal T-shirt
27883,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Scullers For Her Women Pink Shirt
12358,Men,Apparel,Topwear,Shirts,Cream,Fall,2011.0,Formal,Reid & Taylor Men Solid Cream Shirts
9235,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Plain Blue Shirts
53768,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Puma Men Blue T-shirt
54915,Men,Apparel,Topwear,Shirts,Cream,Summer,2012.0,Casual,Do u speak Cream Men T-shirt
9651,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Indigo Nation Men Checks Green Shirts
8783,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Indigo Nation Men Bling PC Red Shirt
4972,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear
38601,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Nike Men Printed Red T-shirt
10857,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Rider Striper Polo White T-Shirts
10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Reglur Black Trousers
29773,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Wrangler Men Green Striped Shirt
9463,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men White Shirt
20251,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,Wrangler Men Heavy Grey Tshirt
14064,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Flying Machine Men Pack of 2 Stripes Red Blue Tshirts
5433,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Nike Men's Speed Fury Red T-shirt
59299,Men,Apparel,Topwear,Shirts,Blue,Fall,2012.0,Casual,U.S. Polo Assn. Men Striped Blue Shirt
27848,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Scullers For Her Navy Blue T-shirt
31111,Boys,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Gini and Jony Boys Solid Black Jeans
46271,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,109F Blue A-Line Dress
7156,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Black Check Shirt
